user,total_pos_rating,total_neg_rating,total_pos_pur,total_neg_pur
777,71246,16894,57974,30166
778,71272,16899,57996,30175
779,71300,16903,58023,30180
780,71433,16935,58172,30196
781,71436,16936,58174,30198
782,71654,16979,58338,30295
783,71654,16979,58338,30295
784,71811,17017,58456,30372
785,72115,17094,58688,30521
786,72185,17106,58749,30542
787,72519,17188,58995,30712
788,72602,17201,59082,30721
789,72904,17272,59330,30846
790,72952,17280,59360,30872
791,73000,17291,59417,30874
792,73007,17293,59419,30881
793,73009,17293,59421,30881
794,73041,17305,59449,30897
795,73230,17351,59608,30973
796,73254,17356,59637,30973
797,73303,17367,59695,30975
798,73316,17370,59702,30984
799,73316,17370,59702,30984
800,73321,17371,59704,30988
801,73402,17380,59779,31003
802,73485,17397,59833,31049
803,73573,17417,59929,31061
804,73581,17422,59929,31074
805,73628,17430,59984,31074
806,73945,17503,60236,31212
807,73961,17507,60247,31221
808,74023,17528,60299,31252
809,74034,17534,60302,31266
810,74389,17618,60589,31418
811,74422,17626,60615,31433
812,74428,17627,60620,31435
813,74744,17701,60877,31568
814,74765,17704,60893,31576
815,74789,17709,60921,31577
816,75118,17805,61182,31741
817,75247,17839,61288,31798
818,75290,17851,61311,31830
819,75320,17856,61341,31835
820,75448,17892,61454,31886
821,75758,17964,61710,32012
822,75765,17967,61711,32021
823,75810,17978,61745,32043
824,76176,18078,62027,32227
825,76226,18084,62078,32232
826,76242,18092,62094,32240
827,76283,18102,62132,32253
828,76307,18106,62160,32253
829,76603,18168,62400,32371
830,76608,18169,62405,32372
831,76616,18172,62405,32383
832,76624,18175,62409,32390
833,76624,18176,62409,32391
834,76665,18181,62439,32407
835,76842,18226,62578,32490
836,76887,18234,62631,32490
837,77025,18273,62743,32555
838,77043,18274,62753,32564
839,77190,18311,62881,32620
840,77198,18315,62889,32624
841,77215,18319,62894,32640
842,77377,18362,63026,32713
843,77631,18410,63225,32816
844,77686,18419,63287,32818
845,77703,18424,63301,32826
846,77714,18425,63303,32836
847,77774,18434,63344,32864
848,78104,18516,63604,33016
849,78119,18519,63617,33021
850,78143,18527,63632,33038
851,78279,18569,63741,33107
852,78299,18576,63751,33124
853,78348,18587,63809,33126
854,78429,18607,63890,33146
855,78653,18670,64054,33269
856,78700,18678,64109,33269
857,78708,18683,64116,33275
858,78729,18688,64136,33281
859,78750,18692,64150,33292
860,78787,18707,64201,33293
861,78789,18710,64201,33298
862,79071,18781,64417,33435
863,79079,18783,64420,33442
864,79091,18786,64425,33452
865,79357,18849,64632,33574
866,79373,18854,64642,33585
867,79421,18862,64697,33586
868,79434,18863,64701,33596
869,79448,18866,64713,33601
870,79472,18877,64729,33620
871,79610,18912,64830,33692
872,79618,18919,64833,33704
873,79618,18919,64833,33704
874,79678,18931,64901,33708
875,79678,18931,64901,33708
876,79704,18941,64920,33725
877,79889,18993,65074,33808
878,79901,18996,65075,33822
879,79990,19020,65139,33871
880,80162,19059,65274,33947
881,80170,19062,65281,33951
882,80261,19096,65371,33986
883,80432,19137,65509,34060
884,80601,19177,65632,34146
885,80677,19197,65707,34167
886,80966,19266,65967,34265
887,81143,19309,66108,34344
888,81143,19309,66108,34344
889,81300,19355,66232,34423
890,81320,19355,66245,34430
891,81337,19359,66251,34445
892,81369,19365,66283,34451
893,81648,19423,66477,34594
894,81672,19428,66505,34595
895,81700,19433,66533,34600
896,81827,19475,66626,34676
897,81832,19480,66627,34685
898,81850,19484,66632,34702
899,81899,19495,66690,34704
900,81936,19502,66727,34711
901,82008,19521,66805,34724
902,82044,19528,66827,34745
903,82114,19539,66891,34762
904,82114,19539,66891,34762
905,82150,19544,66926,34768
906,82170,19548,66937,34781
907,82170,19548,66937,34781
908,82216,19556,66991,34781
909,82216,19556,66991,34781
910,82264,19567,67048,34783
911,82307,19578,67092,34793
912,82316,19582,67097,34801
913,82428,19598,67202,34824
914,82566,19636,67301,34901
915,82567,19637,67302,34902
916,82569,19639,67302,34906
917,82725,19675,67415,34985
918,82817,19685,67506,34996
919,82827,19686,67508,35005
920,82827,19686,67508,35005
921,83209,19775,67805,35179
922,83506,19853,68013,35346
923,83642,19911,68118,35435
924,83780,19971,68225,35526
925,83788,19974,68227,35535
926,84039,20034,68431,35642
927,84083,20038,68478,35643
928,84124,20047,68519,35652
929,84124,20047,68519,35652
930,84259,20088,68633,35714
931,84596,20153,68880,35869
932,84619,20156,68896,35879
933,84976,20245,69156,36065
934,84989,20251,69161,36079
935,85112,20262,69286,36088
936,85112,20262,69286,36088
937,85122,20265,69296,36091
938,85176,20283,69358,36101
939,85204,20289,69388,36105
940,85231,20295,69418,36108
941,85265,20300,69448,36117
942,85320,20310,69510,36120
943,85367,20325,69541,36151
944,85384,20329,69552,36161
945,85384,20329,69552,36161
946,85415,20335,69583,36167
947,85419,20337,69587,36169
948,85422,20338,69590,36170
949,85430,20339,69595,36174
950,85474,20347,69638,36183
951,85821,20431,69907,36345
952,85833,20435,69910,36358
953,86178,20504,70163,36519
954,86260,20516,70240,36536
955,86313,20529,70288,36554
956,86343,20534,70305,36572
957,86353,20537,70307,36583
958,86372,20539,70313,36598
959,86377,20540,70313,36604
960,86422,20548,70366,36604
961,86446,20552,70383,36615
962,86495,20558,70433,36620
963,86523,20565,70462,36626
964,86527,20566,70465,36628
965,86791,20624,70666,36749
966,86802,20626,70674,36754
967,86844,20637,70718,36763
968,87050,20685,70874,36861
969,87358,20754,71114,36998
970,87402,20762,71166,36998
971,87464,20772,71231,37005
972,87814,20845,71478,37181
973,87827,20846,71490,37183
974,87875,20850,71538,37187
975,87886,20851,71541,37196
976,87916,20859,71565,37210
977,87955,20868,71601,37222
978,87961,20870,71608,37223
979,87971,20874,71614,37231
980,88003,20884,71638,37249
981,88020,20886,71646,37260
982,88050,20892,71668,37274
983,88104,20901,71729,37276
984,88205,20929,71827,37307
985,88214,20931,71836,37309
986,88514,20998,72062,37450
987,88532,21003,72067,37468
988,88546,21005,72076,37475
989,88548,21007,72076,37479
990,88625,21021,72127,37519
991,88664,21031,72159,37536
992,88783,21072,72252,37603
993,88870,21092,72335,37627
994,89113,21145,72567,37691
995,89449,21227,72829,37847
996,89625,21269,72969,37925
997,89699,21279,73034,37944
998,89732,21290,73055,37967
999,89734,21290,73055,37969
1000,89772,21299,73090,37981
1001,89778,21299,73094,37983
1002,89805,21309,73114,38000
